year,round,date,constructorId,driverId,time,milliseconds,status,estPosition,estPoints,win,score
1988,16,1988-11-13,ferrari,berger,\N,,collision,22,0,1.0,1659.4704374850994
1989,1,1989-03-26,mclaren,prost,+7.809,5946553.0,finished,2,18,1.0,1713.2188705643991
1989,1,1989-03-26,mclaren,senna,\N,,+2 laps,11,0,0.0,1702.2323438934434
1989,1,1989-03-26,ferrari,berger,\N,,collision,25,0,0.0,1639.6772685990152
1989,2,1989-04-23,mclaren,senna,1:26:51.245,5211245.0,finished,1,25,1.0,1721.2321235044399
1989,2,1989-04-23,mclaren,prost,+40.225,5251470.0,finished,2,18,0.0,1698.2190909534027
1989,2,1989-04-23,ferrari,berger,\N,,accident,23,0,0.0,1624.4890311812392
1989,3,1989-05-07,mclaren,senna,1:53:33.251,6813251.0,finished,1,25,1.0,1738.1483148393822
1989,3,1989-05-07,mclaren,prost,+52.529,6865780.0,finished,2,18,0.0,1685.3028996184603
1989,4,1989-05-28,mclaren,senna,1:35:21.431,5721431.0,finished,1,25,1.0,1753.8043944693054
1989,4,1989-05-28,mclaren,prost,+56.113,5777544.0,finished,5,10,0.0,1673.6468199885371
1989,4,1989-05-28,ferrari,berger,\N,,gearbox,22,0,0.0,1611.4083818041272
1989,5,1989-06-04,mclaren,prost,2:01:33.133,7293133.0,finished,1,25,1.0,1698.4190885842331
1989,5,1989-06-04,ferrari,berger,\N,,alternator,10,1,1.0,1634.1533030944447
1989,5,1989-06-04,mclaren,senna,\N,,electrical,15,0,0.0,1733.0321258736094
1989,6,1989-06-18,mclaren,senna,\N,,engine,7,6,1.0,1750.9192192784687
1989,6,1989-06-18,ferrari,berger,\N,,gearbox,18,0,1.0,1652.378054416281
1989,6,1989-06-18,mclaren,prost,\N,,suspension,21,0,0.0,1684.5319951793738
1989,7,1989-07-09,mclaren,prost,1:38:29.411,5909411.0,finished,1,25,1.0,1708.5223572689436
1989,7,1989-07-09,tyrrell,alesi,+1:13.232,5982643.0,finished,4,12,1.0,1529.9370205111113
1989,7,1989-07-09,ferrari,berger,\N,,clutch,23,0,0.0,1634.6175048137045
1989,7,1989-07-09,mclaren,senna,\N,,differential,26,0,0.0,1730.928857188899
1989,8,1989-07-16,mclaren,prost,1:19:22.131,4762131.0,finished,1,25,1.0,1729.894786313415
1989,8,1989-07-16,ferrari,berger,\N,,fire,15,0,0.0,1619.2761106399707
1989,8,1989-07-16,tyrrell,alesi,\N,,spun off,20,0,0.0,1523.8761723988027
1989,8,1989-07-16,mclaren,senna,\N,,spun off,25,0,0.0,1713.5564281444276
1989,9,1989-07-30,mclaren,senna,1:21:43.302,4903302.0,finished,1,25,1.0,1732.8839091979921
1989,9,1989-07-30,mclaren,prost,+18.151,4921453.0,finished,2,18,0.0,1714.5673052598504
1989,9,1989-07-30,tyrrell,alesi,\N,,+2 laps,10,1,1.0,1552.5383862627577
1989,9,1989-07-30,ferrari,berger,\N,,spun off,20,0,0.0,1606.0367946000306
1989,10,1989-08-13,mclaren,senna,+25.967,6604617.0,finished,2,18,1.0,1750.161076865842
1989,10,1989-08-13,mclaren,prost,+44.177,6622827.0,finished,4,12,0.0,1701.2901375920005
1989,10,1989-08-13,tyrrell,alesi,\N,,+1 lap,9,2,1.0,1578.637785462951
1989,10,1989-08-13,ferrari,berger,\N,,gearbox,15,0,0.0,1594.569387369037
1989,11,1989-08-27,mclaren,senna,1:40:54.196,6054196.0,finished,1,25,1.0,1765.5205675201512
1989,11,1989-08-27,mclaren,prost,+1.304,6055500.0,finished,2,18,0.0,1689.9306469376913
1989,11,1989-08-27,ferrari,berger,\N,,spun off,23,0,0.0,1584.574746593595
1989,12,1989-09-10,mclaren,prost,1:19:27.550,4767550.0,finished,1,25,1.0,1714.44608570241
1989,12,1989-09-10,ferrari,berger,+7.326,4774876.0,finished,2,18,1.0,1611.7999951176262
